agegroup;age_from;age_to;gender;reported_cases;reported_deaths;pop_italy;deathrate_germany;death_per_mio;cases_per_mio
0-9;0;9;m;118;0;2617094;0,0005;0,0000;45,0882
10-19;10;19;m;150;0;2980600;0,0002;0,0000;50,3254
20-29;20;29;m;603;0;3212204;0,0005;0,0000;187,7216
30-39;30;39;m;1261;7;3559151;0,0008;1,9668;354,2980
40-49;40;49;m;2186;16;4593789;0,0021;3,4830;475,8599
50-59;50;59;m;3775;63;4578610;0,0060;13,7596;824,4860
60-69;60;69;m;4221;252;3511037;0,0146;71,7737;1202,2089
70-79;70;79;m;4702;837;2727000;0,0347;306,9307;1724,2391
80-89;80;89;m;3158;835;1395953;0,0892;598,1577;2262,2538
≥90;90;999;m;397;129;209328;0,2350;616,2577;1896,5451
0-9;0;9;f;84;0;2473388;0,0004;0,0000;33,9615
10-19;10;19;f;117;0;2788274;0,0001;0,0000;41,9614
20-29;20;29;f;732;0;2989066;0,0002;0,0000;244,8926
30-39;30;39;f;1202;2;3515067;0,0004;0,5690;341,9565
40-49;40;49;f;2123;9;4648865;0,0012;1,9360;456,6706
50-59;50;59;f;2926;19;4773621;0,0032;3,9802;612,9519
60-69;60;69;f;2025;57;3826173;0,0078;14,8974;529,2495
70-79;70;79;f;2290;246;3235533;0,0205;76,0307;707,7659
80-89;80;89;f;2100;402;2159593;0,0671;186,1462;972,4054
≥90;90;999;f;694;155;565200;0,2042;274,2392;1227,8839
