GENESIS-Tabelle: 12621-000
Sterbetafel (Periodensterbetafel): Deutschland, Jahre, Geschlecht, Vollendetes Alter;;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;Sterbewahrscheinlichkeit [q(x)];Überlebenswahrscheinlichkeit [p(x)];Überlebende [l(x)];Gestorbene [d(x)];Bis zum Alter x+1 durchlebte Jahre [L(x)];Insgesamt noch zu durchlebende Jahre [T(x)];Durchschnittliche Lebenserwartung [e(x)];Sterbewahrscheinlichkeit [q(x)];Überlebenswahrscheinlichkeit [p(x)];Überlebende [l(x)];Gestorbene [d(x)];Bis zum Alter x+1 durchlebte Jahre [L(x)];Insgesamt noch zu durchlebende Jahre [T(x)];Durchschnittliche Lebenserwartung [e(x)]
;;Ziffer;Ziffer;Anzahl;Anzahl;Jahre;Jahre;Jahre;Ziffer;Ziffer;Anzahl;Anzahl;Jahre;Jahre;Jahre
2015/17;0 Jahre;0,00355799;0,99644201;100000;356;99693;7835585;78,36;0,00307816;0,99692184;100000;308;99734;8318492;83,18
2015/17;1 Jahr;0,00028674;0,99971326;99644;29;99630;7735892;77,64;0,00023480;0,99976520;99692;23;99680;8218758;82,44
2015/17;2 Jahre;0,00016890;0,99983110;99616;17;99607;7636262;76,66;0,00011769;0,99988231;99669;12;99663;8119077;81,46
2015/17;3 Jahre;0,00010625;0,99989375;99599;11;99594;7536655;75,67;0,00011507;0,99988493;99657;11;99651;8019415;80,47
2015/17;4 Jahre;0,00010642;0,99989358;99588;11;99583;7437062;74,68;0,00009600;0,99990400;99646;10;99641;7919763;79,48
2015/17;5 Jahre;0,00009935;0,99990065;99578;10;99573;7337479;73,69;0,00009236;0,99990764;99636;9;99631;7820122;78,49
2015/17;6 Jahre;0,00009456;0,99990544;99568;9;99563;7237906;72,69;0,00008063;0,99991937;99627;8;99623;7720491;77,49
2015/17;7 Jahre;0,00007673;0,99992327;99558;8;99554;7138343;71,70;0,00005340;0,99994660;99619;5;99616;7620868;76,50
2015/17;8 Jahre;0,00008464;0,99991536;99551;8;99546;7038788;70,71;0,00006380;0,99993620;99613;6;99610;7521252;75,50
2015/17;9 Jahre;0,00006850;0,99993150;99542;7;99539;6939242;69,71;0,00005629;0,99994371;99607;6;99604;7421642;74,51
2015/17;10 Jahre;0,00007470;0,99992530;99535;7;99532;6839703;68,72;0,00006195;0,99993805;99601;6;99598;7322038;73,51
2015/17;11 Jahre;0,00008120;0,99991880;99528;8;99524;6740171;67,72;0,00007646;0,99992354;99595;8;99592;7222439;72,52
2015/17;12 Jahre;0,00006433;0,99993567;99520;6;99517;6640647;66,73;0,00008856;0,99991144;99588;9;99583;7122848;71,52
2015/17;13 Jahre;0,00009122;0,99990878;99514;9;99509;6541131;65,73;0,00009208;0,99990792;99579;9;99574;7023264;70,53
2015/17;14 Jahre;0,00012483;0,99987517;99504;12;99498;6441622;64,74;0,00010112;0,99989888;99570;10;99565;6923690;69,54
2015/17;15 Jahre;0,00015070;0,99984930;99492;15;99485;6342124;63,75;0,00013200;0,99986800;99560;13;99553;6824125;68,54
2015/17;16 Jahre;0,00024631;0,99975369;99477;25;99465;6242639;62,75;0,00015033;0,99984967;99547;15;99539;6724572;67,55
2015/17;17 Jahre;0,00028228;0,99971772;99453;28;99438;6143174;61,77;0,00014211;0,99985789;99532;14;99524;6625033;66,56
2015/17;18 Jahre;0,00037497;0,99962503;99424;37;99406;6043736;60,79;0,00019816;0,99980184;99517;20;99508;6525509;65,57
2015/17;19 Jahre;0,00040767;0,99959233;99387;41;99367;5944330;59,81;0,00018288;0,99981712;99498;18;99489;6426001;64,58
