Jahr;Kennung;Bezeichnung ;Alter;Alter_von;insgesamt;A00-B99 Bestimmte infektiöse und parasitäre Krankheiten;C00-D48 Neubildungen;D50-D90 Krankheiten des Blutes und der blutbildenden Organe;E00-E90 Endokrine, Ernährungs und Stoffwechselkrankheiten;F00-F99 Psychische Verhaltensstörungen;G00-G99 Krankheiten des Nervensystems;H00-H59 Krankheiten des Auges und der Augenanhangsgebilde;H60-H95 Krankheiten des Ohres und des Warzenfortsatzes;I00-I99 Krankheiten des Kreislaufsystems;J00-J99 Krankheiten des  Atmungssystems;K00-K93 Krankheiten des Verdauungssystems;L00-L99 Krankheiten der Haut und der Unterhaut;M00-M99 Krankheiten des Muskelskelettsystems und des Bindegewebes;N00-N99 Krankheiten des Urogenitalsystems;O00-O99 Schwangerschaft, Geburt und Wochenbett;P00-P96 Best. Zustände, d. i. Ursprung i. d. Perinatalperiode haben;Q00-Q99 Angeborene Fehlbildungen,Deform. u. Chromosomenanomalien;R00-R99 Sympt.u.abnorm.klin.u.Laborbef.,d.andernorts n.klassif. sind;S00-T98 Verletzungen,Vergiftungen u.best.and. Folgen äuß. Ursachen;U00-U99 Schlüsselnummern für besondere Zwecke;Z00-Z99 Fakt.,d.d.Gesund. beeinfl. u.z.Inansp.d.Gesundheitsw.füh.;Diagnose unbekannt
2017;10;Schleswig-Holstein;unter 1 Jahr;0;27836;618;111;18;74;21;107;22;55;67;1440;354;104;13;283;1;6981;868;462;786;14;15437;14
2017;10;Schleswig-Holstein;1 bis unter 5 Jahre;1;9219;1059;271;77;119;202;427;103;180;62;2658;347;266;127;222;-;2;529;481;1928;13;158;1
2017;10;Schleswig-Holstein;5 bis unter 10 Jahre;5;6898;542;317;71;193;474;479;227;134;84;937;498;181;236;181;-;-;275;382;1624;12;63;-
2017;10;Schleswig-Holstein;10 bis unter 15 Jahre;10;9054;446;298;37;431;1217;526;160;109;178;525;858;177;660;284;8;-;281;819;1974;11;65;1
2017;10;Schleswig-Holstein;15 bis unter 20 Jahre;15;17957;725;377;65;369;3810;765;173;128;351;1378;1599;545;993;791;988;-;242;1619;2939;10;99;1
2017;10;Schleswig-Holstein;20 bis unter 25 Jahre;20;20296;584;410;73;260;3362;727;145;141;405;1374;1699;588;1030;1005;4156;-;161;1244;2777;9;149;6
2017;10;Schleswig-Holstein;25 bis unter 30 Jahre;25;26083;571;505;82;327;3233;782;168;181;510;1297;1905;579;1288;1354;9345;-;122;1230;2391;8;191;22
2017;10;Schleswig-Holstein;30 bis unter 35 Jahre;30;27658;479;709;64;402;3349;804;209;176;612;1155;2126;563;1481;1292;10796;-;103;1156;2005;7;158;19
2017;10;Schleswig-Holstein;35 bis unter 40 Jahre;35;25370;542;1121;94;428;3576;900;232;232;1032;1157;2483;493;1985;1515;6160;-;81;1284;1877;6;161;17
2017;10;Schleswig-Holstein;40 bis unter 45 Jahre;40;22870;472;1578;102;542;3326;994;296;269;1583;1061;2888;462;2570;1717;1268;-;98;1449;2028;5;153;14
2017;10;Schleswig-Holstein;45 bis unter 50 Jahre;45;33267;723;3185;160;888;4395;1592;488;385;3156;1412;4265;625;4493;2329;82;-;101;1760;3008;4;211;9
2017;10;Schleswig-Holstein;50 bis unter 55 Jahre;50;44616;929;4722;196;1119;5002;2211;833;481;5491;1988;5437;722;6372;2628;2;-;106;2189;3946;3;231;11
2017;10;Schleswig-Holstein;55 bis unter 60 Jahre;55;45957;1027;5675;205;1129;3671;2243;1042;447;7318;2456;5096;628;6412;2273;-;-;90;2047;3945;2;249;4
2017;10;Schleswig-Holstein;60 bis unter 65 Jahre;60;45353;1053;6368;243;1074;2266;1924;1300;408;8711;2832;4661;560;5933;2323;-;-;67;1892;3499;1;238;1
2017;10;Schleswig-Holstein;65 bis unter 70 Jahre;65;52476;1306;7869;310;1261;1519;2073;1918;423;11302;3431;5178;555;5949;2753;-;-;51;2165;4152;-;256;5
2017;10;Schleswig-Holstein;70 bis unter 75 Jahre;70;58261;1504;8185;387;1347;1336;2510;2230;424;13764;4017;5320;565;6413;2868;-;-;32;2326;4758;1;271;3
2017;10;Schleswig-Holstein;75 bis unter 80 Jahre;75;83222;2482;9750;621;2157;1623;3681;3346;511;20871;5533;7074;788;8422;4376;-;-;43;3753;7847;1;341;2
2017;10;Schleswig-Holstein;80 bis unter 85 Jahre;80;62204;2161;6164;609;2017;1191;2624;2055;338;16213;4191;5311;565;4999;3201;-;-;10;3089;7201;3;257;5
2017;10;Schleswig-Holstein;85 bis unter 90 Jahre;85;36233;1467;2649;467;1549;680;1186;839;157;9284;2749;3192;384;2029;1937;-;-;4;1872;5658;1;125;4
2017;10;Schleswig-Holstein;90 bis unter 95 Jahre;90;16495;736;867;240;803;295;462;238;42;4091;1377;1385;185;661;924;-;-;3;843;3292;-;51;-
2017;10;Schleswig-Holstein;95 Jahre und mehr;95;3768;148;152;61;196;72;92;32;7;839;324;317;47;127;211;-;-;-;181;948;-;13;1
2017;20;Hamburg;unter 1 Jahr;0;24762;640;72;21;57;20;101;20;38;34;1027;231;143;16;241;-;6149;630;336;594;-;14392;-
2017;20;Hamburg;1 bis unter 5 Jahre;1;6653;928;185;56;104;92;273;64;153;33;1934;289;256;107;166;-;3;360;251;1304;-;94;1
2017;20;Hamburg;5 bis unter 10 Jahre;5;3873;285;131;45;151;126;226;117;120;57;574;333;174;174;97;-;-;158;165;885;-;55;-
2017;20;Hamburg;10 bis unter 15 Jahre;10;4677;258;177;39;211;481;288;58;81;96;281;468;171;402;155;6;-;116;331;1011;-;46;1
2017;20;Hamburg;15 bis unter 20 Jahre;15;8414;387;207;39;166;1839;364;68;101;115;731;719;345;500;377;644;-;88;512;1147;-;65;-
2017;20;Hamburg;20 bis unter 25 Jahre;20;12001;347;234;45;140;2097;475;111;96;212;978;1090;439;521;621;2558;-;81;485;1330;-;141;-
2017;20;Hamburg;25 bis unter 30 Jahre;25;17937;384;476;44;195;2197;575;117;129;357;1099;1544;451;837;901;6158;-;100;631;1537;-;204;1
2017;20;Hamburg;30 bis unter 35 Jahre;30;22028;367;589;62;277;2512;568;146;175;514;1119;1758;415;1025;922;9192;-;73;625;1522;-;167;-
2017;20;Hamburg;35 bis unter 40 Jahre;35;19224;374;774;57;273;2417;631;204;187;714;838;1806;367;1137;996;6357;-;70;568;1310;-;143;1
2017;20;Hamburg;40 bis unter 45 Jahre;40;14665;349;1066;63;319;2206;707;160;203;970;725;1862;337;1340;948;1387;-;54;613;1250;-;105;1
2017;20;Hamburg;45 bis unter 50 Jahre;45;17849;416;1725;110;451;2495;902;345;197;1760;780;2432;413;2005;1113;98;-;64;745;1614;-;183;1
