Kennung;Bezeichnung;Alter_von;Insgesamt;männlich;weiblich
10;Schleswig-Holstein;0;25260;12928;12332
10;Schleswig-Holstein;1;25807;13275;12532
10;Schleswig-Holstein;2;26219;13388;12831
10;Schleswig-Holstein;3;25546;13125;12421
10;Schleswig-Holstein;4;25522;12993;12529
10;Schleswig-Holstein;5;24845;12733;12112
10;Schleswig-Holstein;6;25287;13029;12258
10;Schleswig-Holstein;7;24628;12561;12067
10;Schleswig-Holstein;8;25784;13241;12543
10;Schleswig-Holstein;9;25362;13162;12200
10;Schleswig-Holstein;10;26181;13274;12907
10;Schleswig-Holstein;11;26433;13633;12800
10;Schleswig-Holstein;12;26025;13411;12614
10;Schleswig-Holstein;13;26138;13435;12703
10;Schleswig-Holstein;14;27290;14052;13238
10;Schleswig-Holstein;15;27533;14111;13422
10;Schleswig-Holstein;16;28280;14563;13717
10;Schleswig-Holstein;17;29223;15052;14171
10;Schleswig-Holstein;18;31304;16151;15153
10;Schleswig-Holstein;19;32115;16917;15198
10;Schleswig-Holstein;20;31512;16357;15155
10;Schleswig-Holstein;21;32391;17195;15196
10;Schleswig-Holstein;22;31838;16610;15228
10;Schleswig-Holstein;23;30618;16045;14573
10;Schleswig-Holstein;24;31284;16479;14805
10;Schleswig-Holstein;25;31601;16527;15074
10;Schleswig-Holstein;26;31834;16599;15235
10;Schleswig-Holstein;27;32408;16836;15572
10;Schleswig-Holstein;28;34173;17792;16381
10;Schleswig-Holstein;29;33227;17210;16017
10;Schleswig-Holstein;30;34201;17847;16354
10;Schleswig-Holstein;31;33536;17388;16148
10;Schleswig-Holstein;32;32667;16608;16059
10;Schleswig-Holstein;33;31826;16004;15822
10;Schleswig-Holstein;34;31788;15943;15845
10;Schleswig-Holstein;35;32436;16185;16251
10;Schleswig-Holstein;36;33553;16497;17056
10;Schleswig-Holstein;37;33635;16533;17102
10;Schleswig-Holstein;38;34503;16830;17673
10;Schleswig-Holstein;39;32785;16031;16754
10;Schleswig-Holstein;40;33015;16388;16627
10;Schleswig-Holstein;41;32806;16108;16698
10;Schleswig-Holstein;42;33060;16163;16897
10;Schleswig-Holstein;43;32419;15975;16444
10;Schleswig-Holstein;44;32497;16012;16485
10;Schleswig-Holstein;45;33609;16545;17064
10;Schleswig-Holstein;46;36492;17935;18557
10;Schleswig-Holstein;47;40969;20227;20742
10;Schleswig-Holstein;48;42764;21256;21508
10;Schleswig-Holstein;49;47414;23596;23818
10;Schleswig-Holstein;50;50451;25026;25425
10;Schleswig-Holstein;51;52203;26002;26201
10;Schleswig-Holstein;52;52492;26058;26434
10;Schleswig-Holstein;53;51553;25436;26117
10;Schleswig-Holstein;54;52016;26002;26014
10;Schleswig-Holstein;55;50428;24921;25507
10;Schleswig-Holstein;56;47964;23717;24247
10;Schleswig-Holstein;57;46717;22998;23719
10;Schleswig-Holstein;58;44438;21862;22576
10;Schleswig-Holstein;59;43046;21153;21893
10;Schleswig-Holstein;60;40379;19917;20462
10;Schleswig-Holstein;61;39255;18967;20288
10;Schleswig-Holstein;62;36916;17911;19005
10;Schleswig-Holstein;63;35895;17334;18561
10;Schleswig-Holstein;64;35628;17034;18594
10;Schleswig-Holstein;65;33990;16422;17568
