"agegroup","age","deathrate","portion","N1M","N10M","gender","age_max","contacts_mean","contacts_sdev"
0,0,0.0035,0.004843240323177,4843,48432,"m",4,10.21,7.65
0,1,3e-04,0.004918873417892,4919,49189,"m",4,10.21,7.65
0,2,2e-04,0.00495039624141,4950,49504,"m",4,10.21,7.65
0,3,1e-04,0.004805429798521,4805,48054,"m",4,10.21,7.65
0,4,1e-04,0.004742673241193,4743,47427,"m",4,10.21,7.65
0,1,2e-04,0.004673773527581,4674,46738,"f",4,10.21,7.65
0,2,1e-04,0.004717859707969,4718,47179,"f",4,10.21,7.65
0,3,1e-04,0.00455099471974,4551,45510,"f",4,10.21,7.65
0,0,0.0031,0.004600091788391,4600,46001,"f",4,10.21,7.65
0,4,1e-04,0.004491707238901,4492,44917,"f",4,10.21,7.65
5,5,1e-04,0.004578446196545,4578,45784,"m",9,14.81,10.09
5,6,1e-04,0.004563774893891,4564,45638,"m",9,14.81,10.09
5,7,1e-04,0.004459112374385,4459,44591,"m",9,14.81,10.09
5,5,1e-04,0.004331888812292,4332,43319,"f",9,14.81,10.09
5,6,1e-04,0.004310664809603,4311,43107,"f",9,14.81,10.09
5,7,0,0.004220962682458,4221,42210,"f",9,14.81,10.09
5,8,1e-04,0.004325769746818,4326,43258,"f",9,14.81,10.09
5,9,1e-04,0.004252292779504,4252,42523,"f",9,14.81,10.09
5,9,1e-04,0.00450362014393,4504,45036,"m",9,14.81,10.09
5,8,1e-04,0.004566605563943,4567,45666,"m",9,14.81,10.09
10,11,1e-04,0.004335731296321,4336,43357,"f",14,18.22,12.27
10,12,1e-04,0.004244125995268,4244,42441,"f",14,18.22,12.27
10,10,1e-04,0.004372530007,4373,43725,"f",14,18.22,12.27
10,10,1e-04,0.004617497397861,4617,46175,"m",14,18.22,12.27
10,11,1e-04,0.004596297485981,4596,45963,"m",14,18.22,12.27
10,12,1e-04,0.004511955563828,4512,45120,"m",14,18.22,12.27
10,13,1e-04,0.004557595601394,4558,45576,"m",14,18.22,12.27
10,14,1e-04,0.004656283600279,4656,46563,"m",14,18.22,12.27
10,13,1e-04,0.004304931197071,4305,43049,"f",14,18.22,12.27
10,14,1e-04,0.00439730740401,4397,43973,"f",14,18.22,12.27
15,15,2e-04,0.004666847420006,4667,46668,"m",19,17.58,12.03
15,16,3e-04,0.004769185176448,4769,47692,"m",19,17.58,12.03
15,19,4e-04,0.00547499769722,5475,54750,"m",19,17.58,12.03
15,16,1e-04,0.004463822127536,4464,44638,"f",19,17.58,12.03
15,17,3e-04,0.004924992483366,4925,49250,"m",19,17.58,12.03
15,18,4e-04,0.005250929083127,5251,52509,"m",19,17.58,12.03
15,15,1e-04,0.004395524684148,4396,43955,"f",19,17.58,12.03
15,17,1e-04,0.004563714666869,4564,45637,"f",19,17.58,12.03
15,18,2e-04,0.004816162253911,4816,48162,"f",19,17.58,12.03
15,19,2e-04,0.004897324189281,4897,48973,"f",19,17.58,12.03
20,20,5e-04,0.005636851797186,5637,56369,"m",29,13.57,10.6
20,20,2e-04,0.005103541513938,5104,51035,"f",29,13.57,10.6
20,21,2e-04,0.005341667115057,5342,53417,"f",29,13.57,10.6
20,22,2e-04,0.005329814437051,5330,53298,"f",29,13.57,10.6
20,23,2e-04,0.005258517687948,5259,52585,"f",29,13.57,10.6
20,24,2e-04,0.005373117666148,5373,53731,"f",29,13.57,10.6
20,25,2e-04,0.005578612266536,5579,55786,"f",29,13.57,10.6
20,26,2e-04,0.005703161748835,5703,57032,"f",29,13.57,10.6
20,27,2e-04,0.005925170598762,5925,59252,"f",29,13.57,10.6
20,28,2e-04,0.006462130639567,6462,64621,"f",29,13.57,10.6
20,29,3e-04,0.006413105843343,6413,64131,"f",29,13.57,10.6
20,24,5e-04,0.005885095538065,5885,58851,"m",29,13.57,10.6
20,25,5e-04,0.006070402040549,6070,60704,"m",29,13.57,10.6
20,26,5e-04,0.006165946188866,6166,61659,"m",29,13.57,10.6
20,27,5e-04,0.006384257099619,6384,63843,"m",29,13.57,10.6
20,28,5e-04,0.00698606959813,6986,69861,"m",29,13.57,10.6
20,29,6e-04,0.006866964638655,6867,68670,"m",29,13.57,10.6
20,21,4e-04,0.005914980186574,5915,59150,"m",29,13.57,10.6
20,22,5e-04,0.005866666069215,5867,58667,"m",29,13.57,10.6
20,23,5e-04,0.005786202767304,5786,57862,"m",29,13.57,10.6
30,39,6e-04,0.006027580627631,6028,60276,"f",39,14.14,10.15
30,36,5e-04,0.006307238783389,6307,63072,"f",39,14.14,10.15
30,37,5e-04,0.006291953165107,6292,62920,"f",39,14.14,10.15
30,38,6e-04,0.006327800288832,6328,63278,"f",39,14.14,10.15
30,30,3e-04,0.006545364384507,6545,65454,"f",39,14.14,10.15
30,31,3e-04,0.006424729658663,6425,64247,"f",39,14.14,10.15
30,32,3e-04,0.006344386810798,6344,63444,"f",39,14.14,10.15
30,33,4e-04,0.006165428236473,6165,61654,"f",39,14.14,10.15
30,34,4e-04,0.00613865130232,6139,61387,"f",39,14.14,10.15
30,35,4e-04,0.006171944800296,6172,61719,"f",39,14.14,10.15
30,30,6e-04,0.007036901205026,7037,70369,"m",39,14.14,10.15
30,31,7e-04,0.006869000312012,6869,68690,"m",39,14.14,10.15
30,32,7e-04,0.006708700069224,6709,67087,"m",39,14.14,10.15
30,33,7e-04,0.006491798470795,6492,64918,"m",39,14.14,10.15
30,34,8e-04,0.006428981686444,6429,64290,"m",39,14.14,10.15
30,35,9e-04,0.006417719233257,6418,64177,"m",39,14.14,10.15
30,36,9e-04,0.006529247633316,6529,65292,"m",39,14.14,10.15
30,37,9e-04,0.006434209391987,6434,64342,"m",39,14.14,10.15
30,38,0.001,0.006449591373505,6450,64496,"m",39,14.14,10.15
30,39,0.0011,0.006129508840321,6130,61295,"m",39,14.14,10.15
40,40,0.0013,0.006044950100888,6045,60450,"m",49,13.83,10.86
40,41,0.0013,0.005991492595816,5991,59915,"m",49,13.83,10.86
40,42,0.0015,0.005856415430004,5856,58564,"m",49,13.83,10.86
40,43,0.0016,0.005717929414725,5718,57179,"m",49,13.83,10.86
40,44,0.0018,0.005767448072532,5767,57674,"m",49,13.83,10.86
40,45,0.002,0.005797995218288,5798,57980,"m",49,13.83,10.86
40,46,0.0022,0.006292495208308,6292,62925,"m",49,13.83,10.86
40,47,0.0025,0.006917772154742,6918,69178,"m",49,13.83,10.86
40,48,0.0028,0.007164401811422,7164,71644,"m",49,13.83,10.86
40,49,0.0031,0.007701626851124,7702,77016,"m",49,13.83,10.86
40,42,8e-04,0.005785624587889,5786,57856,"f",49,13.83,10.86
40,43,9e-04,0.005622011858869,5622,56220,"f",49,13.83,10.86
40,44,0.001,0.005712798072417,5713,57128,"f",49,13.83,10.86
40,45,0.0011,0.005761594005956,5762,57616,"f",49,13.83,10.86
40,46,0.0013,0.006213874853282,6214,62139,"f",49,13.83,10.86
40,47,0.0014,0.006814217812448,6814,68142,"f",49,13.83,10.86
40,48,0.0016,0.007058064980693,7058,70581,"f",49,13.83,10.86
40,49,0.0018,0.007545747271779,7546,75457,"f",49,13.83,10.86
40,41,8e-04,0.005880951918925,5881,58810,"f",49,13.83,10.86
40,40,7e-04,0.005941070532673,5941,59411,"f",49,13.83,10.86
50,59,0.0093,0.007425172772958,7425,74252,"m",59,12.3,10.23
50,52,0.0025,0.008292947802336,8293,82929,"f",59,12.3,10.23
50,58,0.0084,0.007673910375421,7674,76739,"m",59,12.3,10.23
50,50,0.0035,0.008052401074917,8052,80524,"m",59,12.3,10.23
50,51,0.0039,0.008241803014924,8242,82418,"m",59,12.3,10.23
50,52,0.0044,0.00844734579693,8447,84473,"m",59,12.3,10.23
50,53,0.005,0.008469220251462,8469,84692,"m",59,12.3,10.23
50,54,0.0056,0.008589457478957,8589,85895,"m",59,12.3,10.23
50,55,0.0061,0.008479687707953,8480,84797,"m",59,12.3,10.23
50,56,0.0068,0.008161231304373,8161,81612,"m",59,12.3,10.23
50,57,0.0075,0.007981815004679,7982,79818,"m",59,12.3,10.23
50,50,0.002,0.007892064695916,7892,78921,"f",59,12.3,10.23
50,51,0.0022,0.008094415445735,8094,80944,"f",59,12.3,10.23
50,56,0.0036,0.00811920488815,8119,81192,"f",59,12.3,10.23
50,53,0.0027,0.008295501428085,8296,82955,"f",59,12.3,10.23
50,54,0.003,0.008448417837929,8448,84489,"f",59,12.3,10.23
50,55,0.0033,0.008376241774299,8376,83762,"f",59,12.3,10.23
50,57,0.004,0.00801372328114,8014,80137,"f",59,12.3,10.23
50,58,0.0044,0.007740533507587,7741,77405,"f",59,12.3,10.23
50,59,0.0048,0.007506684025058,7507,75067,"f",59,12.3,10.23
60,60,0.01,0.006970543071759,6971,69705,"m",69,9.21,7.96
60,60,0.0054,0.007082131698839,7082,70821,"f",69,9.21,7.96
60,61,0.0056,0.006915772617599,6916,69158,"f",69,9.21,7.96
60,62,0.0061,0.006729141120622,6729,67291,"f",69,9.21,7.96
60,63,0.0066,0.0065370048738,6537,65370,"f",69,9.21,7.96
60,64,0.0073,0.006441267999011,6441,64413,"f",69,9.21,7.96
60,65,0.008,0.006238086116283,6238,62381,"f",69,9.21,7.96
60,66,0.0087,0.006209357826603,6209,62094,"f",69,9.21,7.96
60,67,0.0097,0.006059922538654,6060,60599,"f",69,9.21,7.96
60,68,0.0102,0.006028014262193,6028,60280,"f",69,9.21,7.96
60,69,0.0112,0.005781252106064,5781,57813,"f",69,9.21,7.96
60,64,0.0143,0.006008175481018,6008,60082,"m",69,9.21,7.96
60,65,0.0154,0.005738659555831,5739,57387,"m",69,9.21,7.96
60,66,0.0163,0.005674313005111,5674,56743,"m",69,9.21,7.96
60,67,0.018,0.005505749614851,5506,55057,"m",69,9.21,7.96
60,68,0.0187,0.005455038462,5455,54550,"m",69,9.21,7.96
60,69,0.0206,0.005229897806909,5230,52299,"m",69,9.21,7.96
60,61,0.011,0.006756857596325,6757,67569,"m",69,9.21,7.96
60,62,0.0121,0.006508674082468,6509,65087,"m",69,9.21,7.96
60,63,0.0131,0.006226847753905,6227,62268,"m",69,9.21,7.96
70,100,0.4072,2.5788458354936e-05,26,258,"m",100,6.89,5.83
70,97,0.338,9.91755622764525e-05,99,992,"m",100,6.89,5.83
70,98,0.3616,6.56523815285757e-05,66,657,"m",100,6.89,5.83
70,99,0.3847,4.19135111102327e-05,42,419,"m",100,6.89,5.83
70,91,0.2024,0.000594421233392,594,5944,"m",100,6.89,5.83
70,92,0.2242,0.000474107700858,474,4741,"m",100,6.89,5.83
70,93,0.2438,0.000367797677701,368,3678,"m",100,6.89,5.83
70,94,0.2735,0.000278116113468,278,2781,"m",100,6.89,5.83
70,95,0.2859,0.000202051017133,202,2021,"m",100,6.89,5.83
70,96,0.3126,0.000144278250564,144,1443,"m",100,6.89,5.83
70,70,0.0224,0.004731808286354,4732,47318,"m",100,6.89,5.83
70,71,0.0244,0.004367121620389,4367,43671,"m",100,6.89,5.83
70,72,0.0261,0.003732328804418,3732,37323,"m",100,6.89,5.83
70,73,0.0283,0.003192706729224,3193,31927,"m",100,6.89,5.83
70,74,0.0309,0.004210940905932,4211,42109,"m",100,6.89,5.83
70,75,0.034,0.004197438007513,4197,41974,"m",100,6.89,5.83
70,76,0.0376,0.003972357579444,3972,39724,"m",100,6.89,5.83
70,77,0.0413,0.004655199513876,4655,46552,"m",100,6.89,5.83
70,78,0.0462,0.004703718403112,4704,47037,"m",100,6.89,5.83
70,79,0.0523,0.004437418600921,4437,44374,"m",100,6.89,5.83
70,80,0.0586,0.003927922082326,3928,39279,"m",100,6.89,5.83
70,81,0.0665,0.003444684545492,3445,34447,"m",100,6.89,5.83
70,82,0.0748,0.003093934412508,3094,30939,"m",100,6.89,5.83
70,83,0.0848,0.002736896578386,2737,27369,"m",100,6.89,5.83
70,84,0.0953,0.002300491574161,2300,23005,"m",100,6.89,5.83
70,85,0.1075,0.001490237990733,1490,14902,"m",100,6.89,5.83
70,86,0.12,0.001330016036716,1330,13300,"m",100,6.89,5.83
70,87,0.133,0.001170386288375,1170,11704,"m",100,6.89,5.83
70,88,0.1475,0.001014737517081,1015,10147,"m",100,6.89,5.83
70,89,0.1624,0.000865029364152,865,8650,"m",100,6.89,5.83
70,90,0.1796,0.000724510542772,725,7245,"m",100,6.89,5.83
70,70,0.0122,0.005232041888906,5232,52320,"f",100,6.89,5.83
70,71,0.0134,0.004908803459749,4909,49088,"f",100,6.89,5.83
70,72,0.0144,0.004251895281156,4252,42519,"f",100,6.89,5.83
70,73,0.0155,0.003745361932063,3745,37454,"f",100,6.89,5.83
70,74,0.0171,0.004948830338828,4949,49488,"f",100,6.89,5.83
70,75,0.0191,0.004975510909746,4976,49755,"f",100,6.89,5.83
70,76,0.0218,0.004773401068015,4773,47734,"f",100,6.89,5.83
70,77,0.0245,0.005764761947334,5765,57648,"f",100,6.89,5.83
70,78,0.0281,0.005987830792855,5988,59878,"f",100,6.89,5.83
70,79,0.0329,0.005790647521556,5791,57906,"f",100,6.89,5.83
70,80,0.0384,0.005241401168185,5241,52414,"f",100,6.89,5.83
70,81,0.0441,0.004739083710659,4739,47391,"f",100,6.89,5.83
70,82,0.0503,0.004405016462876,4405,44050,"f",100,6.89,5.83
70,83,0.0581,0.004051471796053,4051,40515,"f",100,6.89,5.83
70,84,0.0672,0.003539542105753,3540,35395,"f",100,6.89,5.83
70,85,0.0772,0.00268114054939,2681,26811,"f",100,6.89,5.83
70,86,0.0889,0.002474099337061,2474,24741,"f",100,6.89,5.83
70,87,0.1012,0.002254132929654,2254,22541,"f",100,6.89,5.83
70,88,0.1148,0.002026037105796,2026,20260,"f",100,6.89,5.83
70,89,0.1309,0.0017933972533,1793,17934,"f",100,6.89,5.83
70,90,0.1479,0.001558609074419,1559,15586,"f",100,6.89,5.83
70,91,0.1673,0.001328033232879,1328,13280,"f",100,6.89,5.83
70,92,0.1876,0.001105806778575,1106,11058,"f",100,6.89,5.83
70,93,0.2092,0.000898403428476,898,8984,"f",100,6.89,5.83
70,94,0.2352,0.000710458953135,710,7105,"f",100,6.89,5.83
70,95,0.249,0.000543378456171,543,5434,"f",100,6.89,5.83
70,96,0.2695,0.00040805910163,408,4081,"f",100,6.89,5.83
70,97,0.2771,0.000298093030613,298,2981,"f",100,6.89,5.83
70,98,0.3047,0.000215504674939,216,2155,"f",100,6.89,5.83
70,99,0.3305,0.000149833871555,150,1498,"f",100,6.89,5.83
70,100,0.3586,0.000100309682646,100,1003,"f",100,6.89,5.83
