"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","1","males","Y0","0 years","99","total","2019","2019",225428,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y0","0 years","99","total","2019","2019",212859,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y0","0 years","99","total","2019","2019",438287,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y1","1 years","99","total","2019","2019",236086,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y1","1 years","99","total","2019","2019",459922,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y1","1 years","99","total","2019","2019",223836,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y2","2 years","99","total","2019","2019",244308,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y2","2 years","99","total","2019","2019",476020,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y2","2 years","99","total","2019","2019",231712,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y3","3 years","99","total","2019","2019",489037,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y3","3 years","99","total","2019","2019",237650,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y3","3 years","99","total","2019","2019",251387,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y4","4 years","99","total","2019","2019",259391,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y4","4 years","99","total","2019","2019",504420,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y4","4 years","99","total","2019","2019",245029,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y5","5 years","99","total","2019","2019",263538,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y5","5 years","99","total","2019","2019",512997,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y5","5 years","99","total","2019","2019",249459,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y6","6 years","99","total","2019","2019",260032,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y6","6 years","99","total","2019","2019",275227,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y6","6 years","99","total","2019","2019",535259,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y7","7 years","99","total","2019","2019",280461,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y7","7 years","99","total","2019","2019",545227,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y7","7 years","99","total","2019","2019",264766,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y8","8 years","99","total","2019","2019",288427,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y8","8 years","99","total","2019","2019",271679,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y8","8 years","99","total","2019","2019",560106,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y9","9 years","99","total","2019","2019",569207,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y9","9 years","99","total","2019","2019",276366,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y9","9 years","99","total","2019","2019",292841,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y10","10 years","99","total","2019","2019",295712,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y10","10 years","99","total","2019","2019",279992,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y10","10 years","99","total","2019","2019",575704,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y11","11 years","99","total","2019","2019",295472,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y11","11 years","99","total","2019","2019",278398,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y11","11 years","99","total","2019","2019",573870,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y12","12 years","99","total","2019","2019",574671,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y12","12 years","99","total","2019","2019",296319,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y12","12 years","99","total","2019","2019",278352,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y13","13 years","99","total","2019","2019",294516,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y13","13 years","99","total","2019","2019",276183,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y13","13 years","99","total","2019","2019",570699,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y14","14 years","99","total","2019","2019",296674,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y14","14 years","99","total","2019","2019",280115,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y14","14 years","99","total","2019","2019",576789,"p","provisional data"
