gender,age_from,age_to,family,cnt,age,nrep,agegroup,deathrate,contacts_mean,family_factor,portion
f,0,0,geschieden,0.0,0,1,0,0.0031,10.21,0,0.0
f,0,0,geschieden_lp,0.0,0,1,0,0.0031,10.21,0,0.0
f,0,0,ledig,381896.0,0,1,0,0.0031,10.21,0,0.0046000917883912
f,0,0,verheiratet,0.0,0,1,0,0.0031,10.21,1,0.0
f,0,0,verheiratet_lp,0.0,0,1,0,0.0031,10.21,0,0.0
f,0,0,verwitwet,0.0,0,1,0,0.0031,10.21,0,0.0
f,0,0,verwitwet_lp,0.0,0,1,0,0.0031,10.21,0,0.0
f,1,1,geschieden,0.0,1,1,0,0.0002,10.21,0,0.0
f,1,1,geschieden_lp,0.0,1,1,0,0.0002,10.21,0,0.0
f,1,1,ledig,388013.0,1,1,0,0.0002,10.21,0,0.004673773527580898
f,1,1,verheiratet,0.0,1,1,0,0.0002,10.21,1,0.0
f,1,1,verheiratet_lp,0.0,1,1,0,0.0002,10.21,0,0.0
f,1,1,verwitwet,0.0,1,1,0,0.0002,10.21,0,0.0
f,1,1,verwitwet_lp,0.0,1,1,0,0.0002,10.21,0,0.0
f,2,2,geschieden,0.0,2,1,0,0.0001,10.21,0,0.0
f,2,2,geschieden_lp,0.0,2,1,0,0.0001,10.21,0,0.0
f,2,2,ledig,391673.0,2,1,0,0.0001,10.21,0,0.004717859707969046
f,2,2,verheiratet,0.0,2,1,0,0.0001,10.21,1,0.0
f,2,2,verheiratet_lp,0.0,2,1,0,0.0001,10.21,0,0.0
f,2,2,verwitwet,0.0,2,1,0,0.0001,10.21,0,0.0
f,2,2,verwitwet_lp,0.0,2,1,0,0.0001,10.21,0,0.0
f,3,3,geschieden,0.0,3,1,0,0.0001,10.21,0,0.0
f,3,3,geschieden_lp,0.0,3,1,0,0.0001,10.21,0,0.0
f,3,3,ledig,377820.0,3,1,0,0.0001,10.21,0,0.004550994719740357
f,3,3,verheiratet,0.0,3,1,0,0.0001,10.21,1,0.0
f,3,3,verheiratet_lp,0.0,3,1,0,0.0001,10.21,0,0.0
f,3,3,verwitwet,0.0,3,1,0,0.0001,10.21,0,0.0
f,3,3,verwitwet_lp,0.0,3,1,0,0.0001,10.21,0,0.0
f,4,4,geschieden,0.0,4,1,0,0.0001,10.21,0,0.0
f,4,4,geschieden_lp,0.0,4,1,0,0.0001,10.21,0,0.0
f,4,4,ledig,372898.0,4,1,0,0.0001,10.21,0,0.0044917072389014335
f,4,4,verheiratet,0.0,4,1,0,0.0001,10.21,1,0.0
f,4,4,verheiratet_lp,0.0,4,1,0,0.0001,10.21,0,0.0
f,4,4,verwitwet,0.0,4,1,0,0.0001,10.21,0,0.0
f,4,4,verwitwet_lp,0.0,4,1,0,0.0001,10.21,0,0.0
f,5,5,geschieden,0.0,5,1,5,0.0001,14.81,0,0.0
f,5,5,geschieden_lp,0.0,5,1,5,0.0001,14.81,0,0.0
f,5,5,ledig,359630.0,5,1,5,0.0001,14.81,0,0.004331888812292162
f,5,5,verheiratet,0.0,5,1,5,0.0001,14.81,1,0.0
f,5,5,verheiratet_lp,0.0,5,1,5,0.0001,14.81,0,0.0
f,5,5,verwitwet,0.0,5,1,5,0.0001,14.81,0,0.0
f,5,5,verwitwet_lp,0.0,5,1,5,0.0001,14.81,0,0.0
f,6,6,geschieden,0.0,6,1,5,0.0001,14.81,0,0.0
