nationality;gender;ledig;verheiratet;verwitwet;geschieden;verheiratet_lp;geschieden_lp;verwitwet_lp;age_from;age_to
German;m;348453;-;-;-;-;-;-;0;0
German;m;354138;-;-;-;-;-;-;1;1
German;m;355048;-;-;-;-;-;-;2;2
German;m;345080;-;-;-;-;-;-;3;3
German;m;342422;-;-;-;-;-;-;4;4
German;m;332955;-;-;-;-;-;-;5;5
German;m;332124;-;-;-;-;-;-;6;6
German;m;323628;-;-;-;-;-;-;7;7
German;m;334362;-;-;-;-;-;-;8;8
German;m;330576;-;-;-;-;-;-;9;9
German;m;340046;-;-;-;-;-;-;10;10
German;m;340979;-;-;-;-;-;-;11;11
German;m;335110;-;-;-;-;-;-;12;12
German;m;340144;-;-;-;-;-;-;13;13
German;m;348344;-;-;-;-;-;-;14;14
German;m;348864;-;-;-;-;-;-;15;15
German;m;355857;-;-;-;-;-;-;16;16
German;m;365070;3;-;-;-;-;-;17;17
German;m;379843;49;-;-;-;-;-;18;18
German;m;370330;231;2;1;3;-;-;19;19
German;m;376621;721;3;6;5;-;-;20;20
German;m;386409;1720;-;30;13;3;-;21;21
German;m;377732;3527;4;77;21;3;1;22;22
German;m;361894;6435;10;178;44;11;1;23;23
German;m;360349;11456;7;337;77;8;1;24;24
German;m;365061;19016;13;647;97;27;-;25;25
German;m;358950;30188;16;1114;157;29;3;26;26
German;m;359150;45188;27;1802;206;61;4;27;27
German;m;378007;67947;41;2961;322;79;6;28;28
German;m;349758;87815;56;4208;344;98;3;29;29
German;m;337570;112465;62;6017;454;131;4;30;30
German;m;308658;131811;110;7451;488;138;4;31;31
German;m;282224;148552;137;9348;593;155;4;32;32
German;m;254665;158657;167;11158;578;187;18;33;33
German;m;238140;173036;222;13231;628;189;15;34;34
German;m;224468;186765;251;15830;738;207;18;35;35
German;m;215923;201707;296;18815;795;233;24;36;36
German;m;199036;210767;342;21164;865;241;24;37;37
German;m;186175;219086;414;23681;952;262;26;38;38
German;m;166251;216381;456;25214;1005;255;34;39;39
German;m;155053;219910;584;27689;1007;274;28;40;40
German;m;145800;223282;602;29937;1051;230;36;41;41
German;m;133204;224218;729;31573;1089;225;36;42;42
German;m;122890;221630;804;33141;948;229;22;43;43
German;m;119140;227386;958;35942;960;213;31;44;44
German;m;116407;234016;1097;38328;987;183;25;45;45
German;m;124521;259693;1398;46267;1024;247;41;46;46
German;m;136178;293278;1894;54583;1289;252;47;47;47
German;m;137124;307888;2278;60068;1346;228;48;48;48
German;m;143724;338914;2742;69213;1525;264;60;49;49
German;m;146318;360542;3358;76405;1627;274;68;50;50
German;m;143929;378241;4028;82701;1575;251;75;51;51
German;m;140614;393930;4762;88623;1650;235;66;52;52
German;m;133219;401265;5307;91787;1598;218;92;53;53
German;m;128279;413241;6319;96695;1547;215;72;54;54
German;m;118556;417659;7091;97295;1411;207;88;55;55
German;m;107365;409346;7993;94696;1276;162;82;56;56
German;m;98983;409773;8891;93640;1266;161;74;57;57
German;m;88976;399651;9665;88245;1051;130;92;58;58
German;m;80520;394999;10658;85201;929;120;54;59;59
German;m;71002;376961;11106;77540;805;102;69;60;60
German;m;63926;371228;12190;73702;732;81;58;61;61
German;m;57343;361984;13029;68375;680;72;69;62;62
German;m;51128;353306;14179;63165;600;53;60;63;63
German;m;46092;347485;15364;59338;556;64;60;64;64
