Alter;Zeitraum;gender;deathrate;age
0 ;A;m;0,00355799;0
1 ;A;m;0,00028674;1
2 ;A;m;0,0001689;2
3 ;A;m;0,00010625;3
4 ;A;m;0,00010642;4
5 ;A;m;9,935E-05;5
6 ;A;m;9,456E-05;6
7 ;A;m;7,673E-05;7
8 ;A;m;8,464E-05;8
9 ;A;m;6,85E-05;9
10 ;A;m;7,47E-05;10
11 ;A;m;8,12E-05;11
12 ;A;m;6,433E-05;12
13 ;A;m;9,122E-05;13
14 ;A;m;0,00012483;14
15 ;A;m;0,0001507;15
16 ;A;m;0,00024631;16
17 ;A;m;0,00028228;17
18 ;A;m;0,00037497;18
19 ;A;m;0,00040767;19
20 ;A;m;0,00044903;20
21 ;A;m;0,00042592;21
22 ;A;m;0,00045609;22
23 ;A;m;0,00041893;23
24 ;A;m;0,0004775;24
25 ;A;m;0,00045082;25
26 ;A;m;0,0004666;26
27 ;A;m;0,00048965;27
28 ;A;m;0,00049911;28
29 ;A;m;0,00057045;29
30 ;A;m;0,00058054;30
31 ;A;m;0,00067469;31
32 ;A;m;0,00068715;32
33 ;A;m;0,00073444;33
34 ;A;m;0,00079414;34
35 ;A;m;0,00085659;35
36 ;A;m;0,00089093;36
37 ;A;m;0,0010015;37
38 ;A;m;0,00103425;38
39 ;A;m;0,00109674;39
40 ;A;m;0,00125761;40
41 ;A;m;0,00132704;41
42 ;A;m;0,00144346;42
43 ;A;m;0,0015843;43
44 ;A;m;0,00180562;44
45 ;A;m;0,00201464;45
46 ;A;m;0,00220327;46
47 ;A;m;0,0024276;47
48 ;A;m;0,00272782;48
49 ;A;m;0,00304465;49
50 ;A;m;0,00340019;50
51 ;A;m;0,00376454;51
52 ;A;m;0,00428601;52
53 ;A;m;0,00482121;53
54 ;A;m;0,0054668;54
55 ;A;m;0,0060419;55
56 ;A;m;0,0067489;56
57 ;A;m;0,00738687;57
58 ;A;m;0,00832665;58
59 ;A;m;0,00913909;59
60 ;A;m;0,00993406;60
61 ;A;m;0,01092612;61
62 ;A;m;0,01200564;62
63 ;A;m;0,01311172;63
64 ;A;m;0,01427103;64
65 ;A;m;0,01547851;65
66 ;A;m;0,01646079;66
67 ;A;m;0,01790877;67
68 ;A;m;0,01941253;68
69 ;A;m;0,02081856;69
70 ;A;m;0,02274331;70
71 ;A;m;0,02436666;71
72 ;A;m;0,02643125;72
73 ;A;m;0,0288836;73
74 ;A;m;0,03075516;74
75 ;A;m;0,03424591;75
76 ;A;m;0,03736671;76
77 ;A;m;0,04140617;77
78 ;A;m;0,04590807;78
79 ;A;m;0,05111947;79
80 ;A;m;0,05828064;80
81 ;A;m;0,065656;81
82 ;A;m;0,07439181;82
83 ;A;m;0,08308853;83
84 ;A;m;0,09446417;84
85 ;A;m;0,10740229;85
86 ;A;m;0,11995688;86
87 ;A;m;0,13352569;87
88 ;A;m;0,14951618;88
89 ;A;m;0,16406864;89
90 ;A;m;0,1826334;90
91 ;A;m;0,20201201;91
92 ;A;m;0,22593664;92
93 ;A;m;0,24402597;93
94 ;A;m;0,27084145;94
95 ;A;m;0,29365205;95
96 ;A;m;0,31417842;96
97 ;A;m;0,33147163;97
98 ;A;m;0,34796946;98
99 ;A;m;0,36909453;99
100 ;A;m;0,38971586;100
0 ;B;m;0,00356226;0
1 ;B;m;0,00027641;1
2 ;B;m;0,00015611;2
3 ;B;m;0,00010894;3
4 ;B;m;0,00010653;4
5 ;B;m;0,00010046;5
6 ;B;m;9,091E-05;6
7 ;B;m;8,614E-05;7
8 ;B;m;8,552E-05;8
9 ;B;m;8,001E-05;9
10 ;B;m;7,924E-05;10
11 ;B;m;7,74E-05;11
12 ;B;m;6,884E-05;12
13 ;B;m;9,588E-05;13
14 ;B;m;0,00013566;14
15 ;B;m;0,00015987;15
16 ;B;m;0,00024747;16
17 ;B;m;0,00027475;17
18 ;B;m;0,00038318;18
19 ;B;m;0,00039767;19
20 ;B;m;0,00043184;20
21 ;B;m;0,00040526;21
22 ;B;m;0,00045366;22
23 ;B;m;0,00040954;23
24 ;B;m;0,00047486;24
25 ;B;m;0,00043792;25
26 ;B;m;0,00045886;26
27 ;B;m;0,00046183;27
28 ;B;m;0,00048486;28
29 ;B;m;0,00052165;29
30 ;B;m;0,00056139;30
31 ;B;m;0,00061587;31
32 ;B;m;0,000634;32
33 ;B;m;0,00073168;33
34 ;B;m;0,00076954;34
35 ;B;m;0,00080225;35
36 ;B;m;0,00085947;36
37 ;B;m;0,00097983;37
38 ;B;m;0,00106768;38
39 ;B;m;0,00111397;39
40 ;B;m;0,00123774;40
41 ;B;m;0,00133379;41
42 ;B;m;0,00144076;42
43 ;B;m;0,00153974;43
44 ;B;m;0,001798;44
45 ;B;m;0,0019587;45
46 ;B;m;0,00217916;46
47 ;B;m;0,00236791;47
48 ;B;m;0,00265551;48
49 ;B;m;0,00297126;49
50 ;B;m;0,00332421;50
51 ;B;m;0,00370198;51
52 ;B;m;0,00414072;52
53 ;B;m;0,00469739;53
54 ;B;m;0,00531626;54
55 ;B;m;0,00591257;55
56 ;B;m;0,00658737;56
57 ;B;m;0,00733233;57
58 ;B;m;0,00815644;58
59 ;B;m;0,00893714;59
60 ;B;m;0,00983124;60
61 ;B;m;0,01082143;61
62 ;B;m;0,01194124;62
63 ;B;m;0,01297814;63
64 ;B;m;0,01425244;64
65 ;B;m;0,01542111;65
66 ;B;m;0,01660601;66
67 ;B;m;0,01799621;67
68 ;B;m;0,01918012;68
69 ;B;m;0,02109939;69
70 ;B;m;0,02230277;70
71 ;B;m;0,0246394;71
72 ;B;m;0,02618392;72
73 ;B;m;0,02874623;73
74 ;B;m;0,03108519;74
75 ;B;m;0,03362174;75
76 ;B;m;0,03717284;76
77 ;B;m;0,04069575;77
78 ;B;m;0,04546946;78
79 ;B;m;0,05046754;79
80 ;B;m;0,05642286;80
81 ;B;m;0,06453153;81
82 ;B;m;0,07265536;82
83 ;B;m;0,08146408;83
