gender,age_from,age_to,family,cnt,age,nrep,deathrate,portion,family_factor,agegroup,contacts_mean
f,0,0,geschieden,0.0,0,1,0.00300534,0.0,0,0,10.21
f,0,0,geschieden_lp,0.0,0,1,0.00300534,0.0,0,0,10.21
f,0,0,ledig,381896.0,0,1,0.00300534,0.0046000917883912,0,0,10.21
f,0,0,verheiratet,0.0,0,1,0.00300534,0.0,1,0,10.21
f,0,0,verheiratet_lp,0.0,0,1,0.00300534,0.0,0,0,10.21
f,0,0,verwitwet,0.0,0,1,0.00300534,0.0,0,0,10.21
f,0,0,verwitwet_lp,0.0,0,1,0.00300534,0.0,0,0,10.21
f,1,1,geschieden,0.0,1,1,0.00024794,0.0,0,0,10.21
f,1,1,geschieden_lp,0.0,1,1,0.00024794,0.0,0,0,10.21
f,1,1,ledig,388013.0,1,1,0.00024794,0.004673773527580898,0,0,10.21
f,1,1,verheiratet,0.0,1,1,0.00024794,0.0,1,0,10.21
f,1,1,verheiratet_lp,0.0,1,1,0.00024794,0.0,0,0,10.21
f,1,1,verwitwet,0.0,1,1,0.00024794,0.0,0,0,10.21
f,1,1,verwitwet_lp,0.0,1,1,0.00024794,0.0,0,0,10.21
f,2,2,geschieden,0.0,2,1,0.00012423,0.0,0,0,10.21
f,2,2,geschieden_lp,0.0,2,1,0.00012423,0.0,0,0,10.21
f,2,2,ledig,391673.0,2,1,0.00012423,0.004717859707969046,0,0,10.21
f,2,2,verheiratet,0.0,2,1,0.00012423,0.0,1,0,10.21
f,2,2,verheiratet_lp,0.0,2,1,0.00012423,0.0,0,0,10.21
f,2,2,verwitwet,0.0,2,1,0.00012423,0.0,0,0,10.21
f,2,2,verwitwet_lp,0.0,2,1,0.00012423,0.0,0,0,10.21
f,3,3,geschieden,0.0,3,1,0.00010313,0.0,0,0,10.21
f,3,3,geschieden_lp,0.0,3,1,0.00010313,0.0,0,0,10.21
f,3,3,ledig,377820.0,3,1,0.00010313,0.004550994719740357,0,0,10.21
f,3,3,verheiratet,0.0,3,1,0.00010313,0.0,1,0,10.21
f,3,3,verheiratet_lp,0.0,3,1,0.00010313,0.0,0,0,10.21
