,age,gender,hnrnew,Personenzahl,Art_Unterkunft,deathrate,contacts_mean,agegroup
0,71,m,1151,1,1,0.0246394,6.89,70
1,47,m,2294,4,1,0.00236791,13.83,40
2,45,f,2294,4,1,0.00115224,13.83,40
3,19,f,2294,4,1,0.00017479,17.58,15
4,85,f,2294,4,1,0.07612466,6.89,70
5,77,f,3431,1,1,0.02379649,6.89,70
6,33,m,4569,2,1,0.00073168,14.14,30
7,33,f,4569,2,1,0.00036033,14.14,30
8,76,m,5701,2,1,0.03717284,6.89,70
9,78,f,5701,2,1,0.02744802,6.89,70
10,60,m,6846,2,1,0.00983124,9.21,60
11,59,f,6846,2,1,0.00470636,12.3,50
12,54,m,7991,2,1,0.00531626,12.3,50
13,48,f,7991,2,1,0.00159405,13.83,40
14,47,m,8962,4,1,0.00236791,13.83,40
15,43,f,8962,4,1,0.00090807,13.83,40
16,18,f,8962,4,1,0.00019702,17.58,15
17,15,f,8962,4,1,0.00012167,17.58,15
18,73,m,9080,2,1,0.02874623,6.89,70
19,72,f,9080,2,1,0.01481358,6.89,70
20,82,f,114,1,1,0.04937895,6.89,70
21,72,m,228,2,1,0.02618392,6.89,70
22,65,f,228,2,1,0.00797044,9.21,60
23,35,m,344,2,1,0.00080225,14.14,30
24,29,f,344,2,1,0.00025877,13.57,20
25,75,f,456,1,1,0.01923138,6.89,70
26,22,f,573,2,1,0.00016281,13.57,20
27,0,f,573,2,1,0.00300534,10.21,0
28,76,m,690,2,1,0.03717284,6.89,70
29,74,f,690,2,1,0.01784317,6.89,70
30,51,m,809,2,1,0.00370198,12.3,50
31,52,f,809,2,1,0.00233297,12.3,50
32,48,m,926,3,1,0.00265551,13.83,40
33,47,f,926,3,1,0.0013703,13.83,40
34,8,f,926,3,1,6.968e-05,14.81,5
35,31,m,1038,1,1,0.00061587,14.14,30
36,41,m,1150,4,1,0.00133379,13.83,40
37,41,f,1150,4,1,0.00074026,13.83,40
38,16,f,1150,4,1,0.00014725,17.58,15
39,6,m,1150,4,1,9.091e-05,14.81,5
40,55,m,1264,3,1,0.00591257,12.3,50
41,54,f,1264,3,1,0.0028887,12.3,50
42,19,m,1264,3,1,0.00039767,17.58,15
43,85,m,1377,2,1,0.10468035,6.89,70
44,81,f,1377,2,1,0.04267387,6.89,70
45,77,f,1492,1,1,0.02379649,6.89,70
46,74,f,1609,1,1,0.01784317,6.89,70
47,47,f,1723,2,1,0.0013703,13.83,40
48,9,f,1723,2,1,6.117e-05,14.81,5
49,95,m,1834,1,1,0.2901265,6.89,70
50,84,f,1946,1,1,0.06516314,6.89,70
51,38,m,2059,4,1,0.00106768,14.14,30
52,39,f,2059,4,1,0.00060115,14.14,30
53,17,m,2059,4,1,0.00027475,17.58,15
54,12,m,2059,4,1,6.884e-05,18.22,10
55,60,m,2182,2,1,0.00983124,9.21,60
56,55,f,2182,2,1,0.00324545,12.3,50
57,64,m,2293,3,1,0.01425244,9.21,60
58,59,f,2293,3,1,0.00470636,12.3,50
59,22,m,2293,3,1,0.00045366,13.57,20
60,78,f,2406,1,1,0.02744802,6.89,70
61,46,m,2518,2,1,0.00217916,13.83,40
62,39,f,2518,2,1,0.00060115,14.14,30
63,42,m,2630,4,1,0.00144076,13.83,40
64,41,f,2630,4,1,0.00074026,13.83,40
65,10,f,2630,4,1,5.849e-05,18.22,10
66,8,f,2630,4,1,6.968e-05,14.81,5
67,41,f,2742,2,1,0.00074026,13.83,40
68,10,f,2742,2,1,5.849e-05,18.22,10
69,28,f,2855,2,1,0.00023564,13.57,20
70,29,m,2855,2,1,0.00052165,13.57,20
71,52,m,2967,1,1,0.00414072,12.3,50
72,75,f,3078,1,1,0.01923138,6.89,70
73,73,m,3194,2,1,0.02874623,6.89,70
74,66,f,3194,2,1,0.00876211,9.21,60
75,54,m,3305,4,1,0.00531626,12.3,50
76,49,f,3305,4,1,0.00174807,13.83,40
77,20,m,3305,4,1,0.00043184,13.57,20
78,20,m,3305,4,1,0.00043184,13.57,20
79,84,f,3430,1,1,0.06516314,6.89,70
80,41,f,3544,3,1,0.00074026,13.83,40
81,4,f,3544,3,1,9.569e-05,10.21,0
82,0,m,3544,3,1,0.00356226,10.21,0
83,35,f,3656,4,1,0.00041213,14.14,30
84,10,f,3656,4,1,5.849e-05,18.22,10
85,7,f,3656,4,1,4.646e-05,14.81,5
86,4,m,3656,4,1,0.00010653,10.21,0
87,36,m,3657,1,1,0.00085947,14.14,30
88,25,f,3771,1,1,0.00019022,13.57,20
89,70,f,3883,1,1,0.01259879,6.89,70
90,49,m,3998,1,1,0.00297126,13.83,40
91,41,m,4111,1,1,0.00133379,13.83,40
92,18,f,4223,5,1,0.00019702,17.58,15
93,56,f,4223,5,1,0.00357696,12.3,50
94,56,m,4223,5,1,0.00658737,12.3,50
95,19,f,4223,5,1,0.00017479,17.58,15
96,18,f,4223,5,1,0.00019702,17.58,15
97,36,m,4340,1,1,0.00085947,14.14,30
98,60,f,4454,1,1,0.00527596,9.21,60
99,48,f,4568,6,1,0.00159405,13.83,40
100,22,f,4568,6,1,0.00016281,13.57,20
101,20,f,4568,6,1,0.00018488,13.57,20
102,18,f,4568,6,1,0.00019702,17.58,15
103,17,m,4568,6,1,0.00027475,17.58,15
104,12,f,4568,6,1,7.852e-05,18.22,10
105,70,m,4681,2,1,0.02230277,6.89,70
106,68,f,4681,2,1,0.01046567,9.21,60
107,84,m,4795,2,1,0.09199371,6.89,70
108,83,f,4795,2,1,0.05671146,6.89,70
109,47,f,4906,1,1,0.0013703,13.83,40
110,69,m,5017,2,1,0.02109939,9.21,60
111,39,m,5017,2,1,0.00111397,14.14,30
112,46,m,5130,4,1,0.00217916,13.83,40
113,43,f,5130,4,1,0.00090807,13.83,40
114,17,m,5130,4,1,0.00027475,17.58,15
115,12,f,5130,4,1,7.852e-05,18.22,10
116,54,m,5242,4,1,0.00531626,12.3,50
117,45,f,5242,4,1,0.00115224,13.83,40
118,16,m,5242,4,1,0.00024747,17.58,15
119,13,m,5242,4,1,9.588e-05,18.22,10
120,69,f,5355,1,1,0.0115546,9.21,60
121,65,f,5466,2,1,0.00797044,9.21,60
122,65,m,5466,2,1,0.01542111,9.21,60
123,68,m,5587,2,1,0.01918012,9.21,60
124,66,f,5587,2,1,0.00876211,9.21,60
125,39,m,5700,3,1,0.00111397,14.14,30
126,37,f,5700,3,1,0.00047466,14.14,30
127,15,f,5700,3,1,0.00012167,17.58,15
128,28,f,5814,1,1,0.00023564,13.57,20
129,87,f,5930,1,1,0.09994549,6.89,70
130,72,m,6050,1,1,0.02618392,6.89,70
131,75,m,6161,2,1,0.03362174,6.89,70
132,51,f,6161,2,1,0.0021427,12.3,50
133,65,m,6277,2,1,0.01542111,9.21,60
134,63,f,6277,2,1,0.0067488999999999995,9.21,60
135,75,m,6389,2,1,0.03362174,6.89,70
136,72,f,6389,2,1,0.01481358,6.89,70
137,36,m,6504,1,1,0.00085947,14.14,30
138,26,m,6618,2,1,0.00045886,13.57,20
139,26,f,6618,2,1,0.0001882,13.57,20
140,93,f,6732,1,1,0.20897427,6.89,70
141,32,f,6845,2,1,0.00034263,14.14,30
142,38,m,6845,2,1,0.00106768,14.14,30
143,73,m,6961,2,1,0.02874623,6.89,70
144,73,f,6961,2,1,0.01641616,6.89,70
145,28,m,7076,2,1,0.00048486,13.57,20
146,25,f,7076,2,1,0.00019022,13.57,20
147,49,m,7189,2,1,0.00297126,13.83,40
148,48,f,7189,2,1,0.00159405,13.83,40
149,72,m,7300,2,1,0.02618392,6.89,70
150,65,f,7300,2,1,0.00797044,9.21,60
151,58,m,7413,2,1,0.00815644,12.3,50
152,52,f,7413,2,1,0.00233297,12.3,50
153,65,f,7529,1,1,0.00797044,9.21,60
154,64,m,7644,2,1,0.01425244,9.21,60
155,58,f,7644,2,1,0.00434941,12.3,50
156,47,m,7761,5,1,0.00236791,13.83,40
157,46,f,7761,5,1,0.00121751,13.83,40
158,18,m,7761,5,1,0.00038318,17.58,15
159,13,m,7761,5,1,9.588e-05,18.22,10
160,8,f,7761,5,1,6.968e-05,14.81,5
161,66,m,7876,2,1,0.01660601,9.21,60
162,62,f,7876,2,1,0.00613444,9.21,60
163,60,f,7990,2,1,0.00527596,9.21,60
164,27,m,7990,2,1,0.00046183,13.57,20
165,77,m,8103,1,1,0.04069575,6.89,70
166,19,m,8217,2,1,0.00039767,17.58,15
167,19,f,8217,2,1,0.00017479,17.58,15
168,55,m,8329,4,1,0.00591257,12.3,50
169,45,f,8329,4,1,0.00115224,13.83,40
170,21,m,8329,4,1,0.00040526,13.57,20
171,18,f,8329,4,1,0.00019702,17.58,15
172,35,m,8444,2,1,0.00080225,14.14,30
173,33,f,8444,2,1,0.00036033,14.14,30
174,30,f,8557,2,1,0.00031713,14.14,30
175,32,m,8557,2,1,0.000634,14.14,30
176,38,f,8669,3,1,0.00060325,14.14,30
177,9,m,8669,3,1,8.001e-05,14.81,5
178,17,f,8669,3,1,0.00013616,17.58,15
179,45,f,8780,2,1,0.00115224,13.83,40
180,19,m,8780,2,1,0.00039767,17.58,15
181,72,f,8893,1,1,0.01481358,6.89,70
182,75,f,8949,2,1,0.01923138,6.89,70
183,73,f,8949,2,1,0.01641616,6.89,70
184,34,m,8961,1,1,0.00076954,14.14,30
185,63,m,8973,2,1,0.01297814,9.21,60
186,59,f,8973,2,1,0.00470636,12.3,50
187,85,f,8984,1,1,0.07612466,6.89,70
188,40,m,8995,4,1,0.00123774,13.83,40
189,40,f,8995,4,1,0.0006857,13.83,40
190,11,f,8995,4,1,7.733e-05,18.22,10
191,9,f,8995,4,1,6.117e-05,14.81,5
192,40,m,9006,4,1,0.00123774,13.83,40
193,34,f,9006,4,1,0.000406,14.14,30
194,5,m,9006,4,1,0.00010046,14.81,5
195,2,m,9006,4,1,0.00015611,10.21,0
196,42,m,9017,3,1,0.00144076,13.83,40
197,10,m,9017,3,1,7.924e-05,18.22,10
198,33,f,9017,3,1,0.00036033,14.14,30
199,53,m,9028,4,1,0.00469739,12.3,50
200,55,f,9028,4,1,0.00324545,12.3,50
201,27,m,9028,4,1,0.00046183,13.57,20
202,15,m,9028,4,1,0.00015987,17.58,15
203,38,m,9039,3,1,0.00106768,14.14,30
204,45,f,9039,3,1,0.00115224,13.83,40
205,11,f,9039,3,1,7.733e-05,18.22,10
206,62,m,9050,2,1,0.01194124,9.21,60
207,60,f,9050,2,1,0.00527596,9.21,60
208,35,m,9061,2,1,0.00080225,14.14,30
209,33,f,9061,2,1,0.00036033,14.14,30
210,28,f,9079,7,1,0.00023564,13.57,20
211,38,m,9079,7,1,0.00106768,14.14,30
212,8,m,9079,7,1,8.552e-05,14.81,5
213,6,m,9079,7,1,9.091e-05,14.81,5
214,3,m,9079,7,1,0.00010894,10.21,0
215,1,f,9079,7,1,0.00024794,10.21,0
216,1,f,9079,7,1,0.00024794,10.21,0
217,45,m,10,4,1,0.0019587,13.83,40
218,44,f,10,4,1,0.00097058,13.83,40
219,14,m,10,4,1,0.00013566,18.22,10
220,11,f,10,4,1,7.733e-05,18.22,10
221,80,m,22,2,1,0.05642286,6.89,70
222,75,f,22,2,1,0.01923138,6.89,70
223,56,m,33,4,1,0.00658737,12.3,50
224,49,f,33,4,1,0.00174807,13.83,40
225,17,m,33,4,1,0.00027475,17.58,15
226,12,m,33,4,1,6.884e-05,18.22,10
227,57,m,45,3,1,0.00733233,12.3,50
228,52,f,45,3,1,0.00233297,12.3,50
229,27,f,45,3,1,0.00021518,13.57,20
230,43,m,56,1,1,0.00153974,13.83,40
231,22,m,67,1,1,0.00045366,13.57,20
232,29,f,78,2,1,0.00025877,13.57,20
233,8,f,78,2,1,6.968e-05,14.81,5
234,43,f,90,2,1,0.00090807,13.83,40
235,6,f,90,2,1,8.846e-05,14.81,5
236,62,m,102,2,1,0.01194124,9.21,60
237,58,f,102,2,1,0.00434941,12.3,50
238,41,m,113,3,1,0.00133379,13.83,40
239,36,f,113,3,1,0.0004585,14.14,30
