,agegroup,not infected,immun or dead,dead (other),All,not infected %,scenario
0,0,495,46757,43,47295,1.0466222645099905,base r0=5.0
1,5,44,44066,4,44114,0.09974157863716734,base r0=5.0
2,10,7,44585,2,44594,0.0156971789926896,base r0=5.0
3,15,3,48213,8,48224,0.006220968812209689,base r0=5.0
4,20,223,117775,55,118053,0.18889820673765173,base r0=5.0
5,30,170,128003,69,128242,0.13256187520469112,base r0=5.0
6,40,194,125201,193,125588,0.15447335732713316,base r0=5.0
7,50,557,160966,778,162301,0.34318950591801656,base r0=5.0
8,60,2020,120735,1342,124097,1.6277589305140334,base r0=5.0
9,70,7710,140926,8856,157492,4.895486754882787,base r0=5.0
10,All,11423,977227,11350,1000000,1.1423,base r0=5.0
0,0,17402,29857,36,47295,36.794587165662335,school closing r0=5.0
1,5,10145,33967,2,44114,22.997234438046878,school closing r0=5.0
2,10,7207,37385,2,44594,16.161367000044848,school closing r0=5.0
3,15,8394,39820,10,48224,17.406270736562707,school closing r0=5.0
4,20,339,117672,42,118053,0.28715915732764097,school closing r0=5.0
5,30,293,127882,67,128242,0.22847429079396767,school closing r0=5.0
6,40,310,125070,208,125588,0.24683886995572826,school closing r0=5.0
7,50,831,160657,813,162301,0.5120116327071306,school closing r0=5.0
8,60,2750,119915,1432,124097,2.2160084450067288,school closing r0=5.0
9,70,8865,139781,8846,157492,5.628857338785462,school closing r0=5.0
10,All,56536,932006,11458,1000000,5.6536,school closing r0=5.0
0,0,904,46357,34,47295,1.9114071254889522,elderly protection r0=5.0
1,5,127,43983,4,44114,0.2878904656118239,elderly protection r0=5.0
2,10,34,44560,0,44594,0.0762434408216352,elderly protection r0=5.0
3,15,44,48168,12,48224,0.09124087591240876,elderly protection r0=5.0
4,20,616,117400,37,118053,0.5217995307192532,elderly protection r0=5.0
5,30,547,127620,75,128242,0.42653732786450615,elderly protection r0=5.0
6,40,589,124806,193,125588,0.4689938529158837,elderly protection r0=5.0
7,50,1455,160088,758,162301,0.8964824615991275,elderly protection r0=5.0
8,60,47915,74790,1392,124097,38.61092532454451,elderly protection r0=5.0
9,70,81403,67308,8781,157492,51.68706981941939,elderly protection r0=5.0
10,All,133634,855080,11286,1000000,13.3634,elderly protection r0=5.0
0,0,7345,39912,38,47295,15.530182894597738,base r0=2.5
1,5,2832,41279,3,44114,6.4197306977376805,base r0=2.5
2,10,1494,43100,0,44594,3.350226487868323,base r0=2.5
3,15,1818,46394,12,48224,3.7699071001990707,base r0=2.5
4,20,9671,108341,41,118053,8.192083216860224,base r0=2.5
5,30,9381,118790,71,128242,7.315076184089456,base r0=2.5
6,40,9762,115618,208,125588,7.773035640347804,base r0=2.5
7,50,16782,144740,779,162301,10.340047196258803,base r0=2.5
8,60,22837,99894,1366,124097,18.402539948588604,base r0=2.5
9,70,43465,105321,8706,157492,27.598227211540905,base r0=2.5
10,All,125387,863389,11224,1000000,12.5387,base r0=2.5
0,0,31948,15308,39,47295,67.550481023364,school closing r0=2.5
1,5,25071,19038,5,44114,56.83229813664597,school closing r0=2.5
2,10,22247,22345,2,44594,49.88787729290936,school closing r0=2.5
3,15,24483,23731,10,48224,50.76932647644327,school closing r0=2.5
4,20,14437,103574,42,118053,12.229252962652367,school closing r0=2.5
5,30,14242,113921,79,128242,11.105566039207124,school closing r0=2.5
6,40,14346,111067,175,125588,11.423065898015734,school closing r0=2.5
7,50,24088,137463,750,162301,14.841559817869268,school closing r0=2.5
8,60,29890,92896,1311,124097,24.085997244091313,school closing r0=2.5
9,70,52727,95948,8817,157492,33.4791608462652,school closing r0=2.5
10,All,253479,735291,11230,1000000,25.347900000000003,school closing r0=2.5
0,0,10841,36417,37,47295,22.922084786975365,elderly protection r0=2.5
1,5,5207,38905,2,44114,11.80350909008478,elderly protection r0=2.5
2,10,3157,41432,5,44594,7.07942772570301,elderly protection r0=2.5
3,15,3705,44508,11,48224,7.682896483078965,elderly protection r0=2.5
4,20,16637,101371,45,118053,14.092822715221129,elderly protection r0=2.5
5,30,16614,111568,60,128242,12.955194086180816,elderly protection r0=2.5
6,40,16994,108400,194,125588,13.53154760008918,elderly protection r0=2.5
7,50,27697,133854,750,162301,17.065206006124424,elderly protection r0=2.5
8,60,82300,40406,1391,124097,66.31908909965591,elderly protection r0=2.5
9,70,118182,30562,8748,157492,75.04000203184924,elderly protection r0=2.5
10,All,301334,687423,11243,1000000,30.133399999999998,elderly protection r0=2.5
