,agegroup,not infected,immun or dead,dead (other),All,not infected %,scenario
0,0,43050,4211,34,47295,91.0244211861719,lock r0= 2.5 rlock=0.9
1,5,38657,5456,1,44114,87.62977739493132,lock r0= 2.5 rlock=0.9
2,10,37838,6747,9,44594,84.84997981791273,lock r0= 2.5 rlock=0.9
3,15,41222,6988,14,48224,85.48025879230259,lock r0= 2.5 rlock=0.9
4,20,104318,13698,37,118053,88.36539520384912,lock r0= 2.5 rlock=0.9
5,30,112935,15234,73,128242,88.06397280142231,lock r0= 2.5 rlock=0.9
6,40,110898,14490,200,125588,88.30302258177532,lock r0= 2.5 rlock=0.9
7,50,144883,16607,811,162301,89.26808830506282,lock r0= 2.5 rlock=0.9
8,60,113526,9174,1397,124097,91.48166353739413,lock r0= 2.5 rlock=0.9
9,70,142225,6460,8807,157492,90.3061742818683,lock r0= 2.5 rlock=0.9
10,All,889552,99065,11383,1000000,88.9552,lock r0= 2.5 rlock=0.9
0,0,29626,17634,35,47295,62.64087112802622,lock r0= 2.5 rlock=1.3
1,5,22328,21783,3,44114,50.61431745024255,lock r0= 2.5 rlock=1.3
2,10,19357,25235,2,44594,43.40718482307037,lock r0= 2.5 rlock=1.3
3,15,21717,26496,11,48224,45.03359323158593,lock r0= 2.5 rlock=1.3
4,20,63534,54471,48,118053,53.81820029986532,lock r0= 2.5 rlock=1.3
5,30,67129,61040,73,128242,52.34556541538653,lock r0= 2.5 rlock=1.3
6,40,67068,58313,207,125588,53.4031913877122,lock r0= 2.5 rlock=1.3
7,50,92415,69120,766,162301,56.940499442394064,lock r0= 2.5 rlock=1.3
8,60,81262,41496,1339,124097,65.48264663932247,lock r0= 2.5 rlock=1.3
9,70,111892,36790,8810,157492,71.04614837579052,lock r0= 2.5 rlock=1.3
10,All,576328,412378,11294,1000000,57.632799999999996,lock r0= 2.5 rlock=1.3
0,0,7276,39975,44,47295,15.384290094090284,base r0=2.5
1,5,2930,41182,2,44114,6.64188239561137,base r0=2.5
2,10,1501,43088,5,44594,3.3659236668610126,base r0=2.5
3,15,1801,46415,8,48224,3.7346549435965493,base r0=2.5
4,20,9712,108295,46,118053,8.226813380430825,base r0=2.5
5,30,9495,118662,85,128242,7.4039706180502485,base r0=2.5
6,40,9908,115472,208,125588,7.88928878555276,base r0=2.5
7,50,16981,144529,791,162301,10.462658886883014,base r0=2.5
8,60,23151,99565,1381,124097,18.655567821945738,base r0=2.5
9,70,43622,105042,8828,157492,27.697914814720747,base r0=2.5
10,All,126377,862225,11398,1000000,12.637699999999999,base r0=2.5
