,agegroup,not infected,immun or dead,dead (other),All,not infected %,scenario
0,0,4203,43045,47,47295,8.886774500475738,base
1,5,1189,42923,2,44114,2.695289477263454,base
2,10,557,44032,5,44594,1.2490469569897296,base
3,15,679,47536,9,48224,1.408012607830126,base
4,20,4619,113393,41,118053,3.9126494032341403,base
5,30,4383,123788,71,128242,3.4177570530715364,base
6,40,4636,120767,185,125588,3.6914354874669555,base
7,50,8718,152870,713,162301,5.371501099808381,base
8,60,14119,108554,1424,124097,11.37739026729091,base
9,70,30387,118236,8869,157492,19.294313361948543,base
10,All,73490,915144,11366,1000000,7.349,base
0,0,28227,19034,34,47295,59.68284173802727,school closing
1,5,20881,23230,3,44114,47.33417962551571,school closing
2,10,17365,27226,3,44594,38.94021617257927,school closing
3,15,19455,28761,8,48224,40.34298274717983,school closing
4,20,6699,111317,37,118053,5.674569896571879,school closing
5,30,6625,121539,78,128242,5.166014254300463,school closing
6,40,6903,118486,199,125588,5.49654425582062,school closing
7,50,12373,149197,731,162301,7.623489688911343,school closing
8,60,18476,104213,1408,124097,14.888353465434298,school closing
9,70,36720,111913,8859,157492,23.315469992126584,school closing
10,All,173724,814916,11360,1000000,17.3724,school closing
0,0,6818,40432,45,47295,14.415900200866899,elderly protecion
1,5,2642,41466,6,44114,5.989028426349911,elderly protecion
2,10,1357,43232,5,44594,3.0430102704399697,elderly protecion
3,15,1550,46659,15,48224,3.2141672196416717,elderly protecion
4,20,8430,109578,45,118053,7.140860460979391,elderly protecion
5,30,8271,119884,87,128242,6.449525116576472,elderly protecion
6,40,8547,116852,189,125588,6.805586521005191,elderly protecion
7,50,15070,146447,784,162301,9.285216973401273,elderly protecion
8,60,73339,49357,1401,124097,59.0981248539449,elderly protecion
9,70,108720,40028,8744,157492,69.03207781982576,elderly protecion
10,All,234744,753935,11321,1000000,23.4744,elderly protecion
