,agegroup,gender,not infected,infected,dead (other),All,not infected %,scenario,day,immun or dead
0,0,f,23022,13.0,0,23035,99.94356414152377,base r0=1.5 f=0,1,
1,0,m,24247,13.0,0,24260,99.94641384995879,base r0=1.5 f=0,1,
2,5,f,21429,13.0,0,21442,99.93937132730156,base r0=1.5 f=0,1,
3,5,m,22661,11.0,0,22672,99.9514820042343,base r0=1.5 f=0,1,
4,10,f,21641,14.0,0,21655,99.93534980374048,base r0=1.5 f=0,1,
5,10,m,22925,14.0,0,22939,99.93896856881294,base r0=1.5 f=0,1,
6,15,f,23126,9.0,0,23135,99.96109790360926,base r0=1.5 f=0,1,
7,15,m,25075,12.0,0,25087,99.95216646071671,base r0=1.5 f=0,1,
8,20,f,56461,28.0,0,56489,99.95043282763015,base r0=1.5 f=0,1,
9,20,m,61597,24.0,0,61621,99.96105223868487,base r0=1.5 f=0,1,
10,30,f,62711,33.0,0,62744,99.94740532959327,base r0=1.5 f=0,1,
11,30,m,65458,36.0,0,65494,99.94503313280606,base r0=1.5 f=0,1,
12,40,f,62302,30.0,0,62332,99.95187062824873,base r0=1.5 f=0,1,
13,40,m,63232,21.0,0,63253,99.96679999367619,base r0=1.5 f=0,1,
14,50,f,80732,42.0,0,80774,99.9480030702949,base r0=1.5 f=0,1,
15,50,m,81479,39.0,1,81519,99.95093168463794,base r0=1.5 f=0,1,
16,60,f,63980,37.0,1,64018,99.9406416945234,base r0=1.5 f=0,1,
17,60,m,60039,35.0,1,60075,99.94007490636704,base r0=1.5 f=0,1,
18,70,f,90818,45.0,12,90875,99.93727647867951,base r0=1.5 f=0,1,
19,70,m,66532,31.0,18,66581,99.9264054309788,base r0=1.5 f=0,1,
20,All,,999467,500.0,33,1000000,99.94669999999999,base r0=1.5 f=0,1,
0,0,f,23022,13.0,0,23035,99.94356414152377,base r0=1.5 f=0,2,
1,0,m,24247,13.0,0,24260,99.94641384995879,base r0=1.5 f=0,2,
2,5,f,21429,13.0,0,21442,99.93937132730156,base r0=1.5 f=0,2,
3,5,m,22660,12.0,0,22672,99.94707127734651,base r0=1.5 f=0,2,
4,10,f,21640,15.0,0,21655,99.93073193257908,base r0=1.5 f=0,2,
5,10,m,22925,14.0,0,22939,99.93896856881294,base r0=1.5 f=0,2,
6,15,f,23126,9.0,0,23135,99.96109790360926,base r0=1.5 f=0,2,
7,15,m,25074,13.0,0,25087,99.94818033244309,base r0=1.5 f=0,2,
8,20,f,56460,29.0,0,56489,99.94866257147409,base r0=1.5 f=0,2,
9,20,m,61594,26.0,1,61621,99.95618376852048,base r0=1.5 f=0,2,
10,30,f,62710,34.0,0,62744,99.94581155170216,base r0=1.5 f=0,2,
11,30,m,65456,38.0,0,65494,99.94197941796195,base r0=1.5 f=0,2,
12,40,f,62301,31.0,0,62332,99.95026631585702,base r0=1.5 f=0,2,
13,40,m,63230,23.0,0,63253,99.96363808831201,base r0=1.5 f=0,2,
14,50,f,80728,45.0,1,80774,99.94305098175155,base r0=1.5 f=0,2,
15,50,m,81478,40.0,1,81519,99.94970497675388,base r0=1.5 f=0,2,
